,Generation,label
10,putin and xi are using the coronavirus crisis to extend their control across the world trump is struggling to keep up putin and xi are using the coronavirus crisis to extend their control across the world trump is struggling to keep up   putin is using the coronavirus crisis to extend his control across the world trump is struggling to keep up  the reason putin is using the coronavirus crisis to extend his control is because he knows that people are more worried about the virus than they are about politics trump is struggling to keep up because he is not as good at manipulating the emotions of the public  on thursday the world health organization declared a global health emergency over the coronavirus which has killed more than 30 people in the middle east and africa the virus has also become a major public health threat in the west where it has killed 11 people and caused more than 150 nhs hospitalisations  the who declared the global health emergency to raise awareness of the virus and mobilize resources to fight it  trump is struggling to keep up  meanwhile in the united states the trump administration has been struggling to respond decisively to the coronavirus crisis  on wednesday trump declared a national emergency to fund the purchase of medical supplies and personnel to fight the virus but the move was met with criticism from some lawmakers and was opposed by the pentagon  critics say trumps declaration is a publicity stunt that will not help to fund the response to the virus  meanwhile across the world leaders are using the crisis to extend their control  after the who declared the global health emergency putin announced that russia would close its borders to ebola patients this is an attempt to shut down the flow of information about the virus and to demonize ebola as a dangerous and dangerous virus   xis china has also been trying to control the information about the virus on thursday the chinese government announced that it would block websites and social media platforms that promote the spread of the virus  this is an attempt to restrict the access of the public to information about the virus and to suppress criticism of the chinese governments response to the crisis  across the world leaders are using the coronavirus crisis to extend their control trump is struggling to keep up and the global response to the virus is not yet fully unified,gpt3
11,how this south korean company created coronavirus test kits in three weeks how this south korean company created coronavirus test kits in three weeks coronavirus test kits are created by a south korean company in three weeks the kits are designed to help determine if an individual has coronavirus  novo scientific a south korean company developed prototype coronavirus test kits in three weeks the kits were created to help identify coronavirus infections more quickly and accurately  since the coronavirus first started spreading in early october the south korean company stemexpress has been ramping up its efforts to create test kits to detect the virus  according to the company its main goal has been to help hospitals and other healthcare organizations quickly identify people who might be infected with the virus and to provide those people with the necessary tests and information to help them manage their illness  stemexpress has also been working to develop new test methods and to create kits that are more userfriendly and less expensive than those currently available  in the past three weeks the company has reportedly produced over 1000 coronavirus test kits the kits are currently being distributed to hospitals and other healthcare organizations in south korea and the company is also in the process of developing kits for export to other countries  stemexpresss efforts underscore the importance of creating rapid test kits for viruses like the coronavirus which can help to protect both the health of people who are infected and the healthcare systems that are tasked with diagnosing and treating those people  coronavirus is a serious issue that people across the world are worried about there are currently no vaccines or treatments available and anyone who is exposed to the virus risks severe health complications as a result it is important that people have access to accurate testing methods to determine if they have been exposed to the virus  one company in south korea has developed a quick and easy coronavirus test kit that could help to alleviate some of the global concern the kit is composed of simple easytouse components and it can be used to detect the virus in just three weeks this innovative tool could be a crucial tool in the global fight against coronavirus and it could help to protect the health of millions of people worldwide,gpt3
12,the 30 most troubling lines from donald trumps latest news conference on coronavirus the 30 most troubling lines from donald trumps latest news conference on coronavirus 1 we are very confident in the measures that we are taking 2 the science is really clear we have the best scientists in the world 3 we have done very well in this 4 the united states is doing well perhaps better than anybody has ever done 5 this is something that is very hard to diagnose very hard to treat 6 there is no current investigation that im aware of that suggests that our country is at risk 7 this is something that we have to be very careful about 8 we have very sophisticated scientists working on this 9 this is a very serious problem 10 we have the best hospitals in the world 11 i would say its a very small number 12 its not just mexico its all over the world 13 we have a very wellfunctioning and strong health care system 14 i think were doing very well 15 its a very difficult thing to do 16 this is something new this is something thats never happened before 17 this is something that i think we have to take seriously 18 i think were doing very well im very confident in the way the cdc is operating 19 the united states is doing really well its a really tough thing 20 i would say it is a very very tiny number 21 im not sure i understand the question 22 i would say its a very small number but i would not like to say its zero 23 i think the system is working very well 24 i dont think so 25 i would say there is a zero percent chance its happening in this country 26 im not aware of any specific threat 27 i would say its a very small number 28 its difficult to say exactly 29 i think the system is working very well 30 i dont think so,gpt3
13,coronavirus could hurt boeing more than the 737 max crisis coronavirus could hurt boeing more than the 737 max crisis most analysts say that the 737 max crisis will have a much more limited impact on boeing than coronavirus despite criticism from some regulators and airlines there is little evidence that the 737 max is unsafe the biggest threat to boeing from the 737 max crisis appears to be lost sales and customer distrust  boeing has warned of a potential material adverse effect to its 737 max programme as a result of the global coronavirus pandemic according to an earnings call transcript  read more  boeing is one of the worlds largest aircraft manufacturers and the 737 max crisis has significantly weighed on its share prices but the coronavirus could actually be worse for the company according to a report by bloomberg  the crisis has caused airlines to cancel orders for the 737 max and this could permanently damage boeings market share the collapse in demand could mean that boeing will have to drastically reduce the prices of its existing aircraft in order to compete  moreover airlines may not be the only ones to suffer from the 737 max crisis many companies that rely on the aircraft for their transport are likely to be affected including fedex ups and dhl  the outlook for boeing is uncertain but the coronavirus could have a much greater impact on the companys profits and market share than the 737 max crisis  an airborne coronavirus pandemic could have a bigger impact on boeing than the 737 max crisis according to a reuters report  the airline manufacturer has a significant presence in china where a number of 737 max aircraft are operated a widespread coronavirus pandemic could impact aircraft sales as passengers with newly developed coronavirusrelated respiratory illnesses switch to other airlines  the 737 max crisis has had a smaller impact on boeings financial standings as the company has already booked a significant amount of replacements for the aircraft,gpt3
14,hong kong protests how unrest criminalized a generation hong kong protests how unrest criminalized a generation the occupy hong kong movement that began in september 2014 has given a voice to the disenfranchised youth in hong kong who have not seen real change in recent years however the protests have also become a criminal enterprise with authorities using excessive force to suppress dissent  the protests first began as a response to proposed legislations that would have allowed mainland chinese citizens to vote in the annual election for the leader of hong kong these proposed changes were vehemently opposed by the prodemocracy activists who believed that the leader of hong kong should be chosen by the people of hong kong  the protests quickly grew out of control with demonstrators blockading major roads and occupying various government buildings in early october police responded with a forceful crackdown using tear gas pepper spray and rubber bullets to disperse the protesters dozens of people were injured and several were arrested  since then the protests have turned into an open criminal enterprise protesters have been accused of engaging in vandalism theft and assault in some cases protesters have even been accused of collaborating with the triads hong kongs largest organized crime syndicate  authorities have responded to the protests by using excessive force which has only served to criminalize the protesters further the protests have become a playground for criminal gangs and corrupt officials with the authorities looking the other way in exchange for political favors  the occupy hong kong movement has given a voice to the disenfranchised youth in hong kong but the protests have also become a criminal enterprise that is furthest from achieving real change,gpt3
15,christmas in hong kong marked by demonstrations and tear gas christmas in hong kong marked by demonstrations and tear gas hundreds of demonstrators took to the streets of hong kong on sunday to mark christmas but faced off with police in a series of sometimes violent clashes  five people were arrested and several officers were hurt in the clashes which saw police fire tear gas and rubber bullets to disperse demonstrators  the bbcs rachel robertson in hong kong said that ordinarily the city is quiet during christmas but this year it has been overshadowed by a series of large and small demonstrations against a proposed law that would allow security forces to detain people for up to three months without trial  sundays main demonstration was called by prodemocracy groups but smaller gatherings were also held by religious organizations and the citys probeijing factions  many of the demonstrators were young and many were wearing christmas hats and colourful clothing  hong kong celebrated christmas day on december 25 2014 but the day was marred by large scale demonstrations and police firing of tear gas reportedly police used excessive force against demonstrators while several people were injured  hundreds of people managed to bring christmas cheer to hong kongs streets on thursday despite the continued presence of tear gas and police enforcement  the festive season kicked off with a bang when demonstrators blocked a major road in the admiralty district wounding two police officers who responded with tear gas and pepper spray  despite the clashes residents and merchants pushed ahead to hang christmas lights and setupfestive displays in the citys main shopping areas  the festive season kicked off with a bang when demonstrators blocked a major road in the admiralty district  protests and police confrontation have been a regular occurrence during hong kongs christmas season in recent years with the annual event often turning into a battleground between prodemocracy activists and the government,gpt3
16,new arts district aims to brighten chennai communitys dark reputation new arts district aims to brighten chennai communitys dark reputation chennai india   south indian city chennai may soon be known for its vibrant arts and cultural scene as a newly created arts district aims to brighten the communitys dark reputation  chennai which is the capital of tamil nadu has long been known for its chaotic streets and seedy underworld but the new arts district is hoped to change that  the arts district which is currently in development will be home to a range of art galleries theaters and music venues and is expected to attract tourists and promote culture in the area  the district has been created in response to chennais declining economic fortunes and is hoped to revitalize the local community and promote the citys arts and culture  the district is also expected to help to reduce crime rates in the area and promote economic stability  the new arts district is set to be completed by 2020 and is expected to bring muchneeded change to the area  the chennai arts district is a newly formed district in the city of chennai india which is looking to improve its reputation as a dark and crimeridden area the district was established in 2016 with the goal of increasing the citys arts and cultural scene and attracting new businesses and residents so far the district has seen significant success in both of these areas and is seeing an influx of new residents and businesses  chennai india   the new arts district in chennai india is aiming to change the image of the city which is often seen as dark and dangerous  the arts district which is currently under construction will have a number of theatres art galleries and music venues  the district was created in response to the citys reputation for being dark and dangerous and it is hoped that the arts district will help to improve the citys image and make it more appealing to tourists  the arts district is expected to be completed by the end of 2019 and it is hoped that it will help to improve the citys economy social life and cultural heritage,gpt3
17,from east paris to world fame  how imagination and travel fueled christian louboutins success from east paris to world fame  how imagination and travel fueled christian louboutins success when christian louboutin opened his first boutique in paris in 1976 he had no idea of the global success he would achieve it was only after he began traveling and dreaming of other worlds that his shoes began to take on an elevated status becoming coveted accessories worn by hollywood celebrities and global trendsetters he has since become a household name presiding over one of the worlds most successful luxury shoe brands in this excerpt from the richest man in the world the story of bernard arnault author reid hoffman tells the story of how louboutins imagination and travel helped him build his business  as louboutin opened his first boutique in 1976 he had no idea of the global success he would achieve it was only after he began traveling and dreaming of other worlds that his shoes began to take on an elevated status becoming coveted accessories worn by hollywood celebrities and global trendsetters he has since become a household name presiding over one of the worlds most successful luxury shoe brands  to understand how louboutin became one of the richest men in the world one must look back at his early life and see how his imagination and travel helped him build his business born in the east paris suburb of clichysousbois in 1949 louboutins love of fashion and shoes was instilled in him from an early age his father was a tailor and his mother a seamstress so christian grew up dressing and making his own shoes  after completing his military service louboutin began to work as a shoe salesman in 1976 he opened his first boutique in paris and his shoes quickly became popular among the citys fashion elite over the next few years he opened more boutiques across france and in 1978 he opened his first store outside of france in new york city  louboutins shoes quickly became popular not only among parisians but also among celebrities and trendsetters around the world in 1984 he opened his first flagship store in london and his shoes began to be worn by celebrities such as madonna kylie minogue and sarah jessica parker  louboutins success continued to grow over the next few years and he opened stores in,gpt3
18,12 famous buildings in india from ancient wonders to modern marvels 12 famous buildings in india from ancient wonders to modern marvels  here are 12 famous buildings in india that are worth a visit  1 taj mahal  the taj mahal is probably the most famous building in india and its definitely worth a visit the mausoleum is located in agra and its a beautiful example of islamic architecture  2 the ganges river  the ganges river is another magnificent sight in india and its definitely worth a visit the river is considered to be the holiest body of water in the hindu religion and its packed with religious significance  3 the taj mahal again  if youve already visited the taj mahal then you should definitely check out the nearby jaipur pink city jaipur is a beautiful city with a lot of history and its definitely worth a visit  4 the lotus temple  the lotus temple is another beautiful example of hindu architecture and its definitely worth a visit the temple is located in the city of amritsar and its a popular tourist destination  5 the gateway of india  the gateway of india is one of the most prominent landmarks in mumbai and its definitely worth a visit the facade of the building is covered in intricate carvings and its a beautiful sight  6 the red fort  the red fort is another iconic building in delhi and its definitely worth a visit the fort is located in the center of the city and its a beautiful example of mughal architecture  7 the taj mahal again  if youve already visited the taj mahal then you should definitely check out the nearby agra fort the agra fort is a beautiful unesco world heritage site and its definitely worth a visit  8 the khajuraho temples  the khajuraho temples are an absolutely amazing sight and theyre definitely worth a visit the temples are located in the madhya pradesh state and theyre considered to be one of the most beautiful examples of hindu architecture  9 the easter island statues  the easter island statues are another amazing sight and theyre definitely worth a visit the statues are located in the pacific ocean and they,gpt3
19,coronavirus which countries have travel bans coronavirus which countries have travel bans as of september 1 2018 canada croatia japan norway saudi arabia and the united states have travel bans in place for people who have been in contact with the coronavirus  as of september 2019 the us has travel bans for citizens of 16 countries including algeria benin burkina faso cambodia cameroon central african republic chad iran iraq lebanon libya mauritania niger oman qatar saudi arabia senegal sierra leone somalia sudan syria and yemen  the united states the european union canada tunisia egypt and nigeria have travel bans in place for people who have been recently diagnosed with coronavirus  the united states has a travel ban for citizens from several countries in the middle east and africa the uk has a travel ban for citizens from several countries in africa canada has a travel ban for citizens from several countries in africa and the middle east  countries that have issued travel bans against coronavirus are the united states of america the united kingdom saudi arabia qatar and egypt  there is currently a travel ban for citizens of countries affected by the coronavirus including the united states of america usa  a number of countries have travel bans in place for people with coronavirus these countries are  afghanistan botswana cameroon central african republic chad congo democratic republic of the congo eritrea ghana india kenya lao pdr liberia mali mauritania nigeria pakistan somalia south sudan sudan swaziland tanzania uganda zambia  at this time the united states has a travel ban in place for citizens of seven countriesiran iraq libya somalia sudan syria and yemen additionally the united kingdom has a visa ban in place for citizens of these seven countries,gpt3
20,mount everest closed over coronavirus fears mount everest closed over coronavirus fears the mount everest climbing season has closed after fears of a coronavirus pandemic  the mountain of dreams has been closed for both climbers and sherpa since the first confirmed case of the virus in a nepalese climber on may 28  the climbing season usually starts in april and runs through to may  mount everest the worlds highest mountain has closed to visitors over health fears over the coronavirus  the nepalese government said on sunday the mountain was closed in an effort to protect the safety of climbers and tourists  it follows concerns that people who have been to the region are at greater risk of being infected with the virus  the mount everest foundation said the decision was made in the spirit of safety for everyone  so far only one person has died from the virus  a nepalese man in april  mount everest the worlds highest mountain has been closed to climbing due to fears over the coronavirus the move comes as mount everests base camp is already packed with climbers preparing to scale the worlds tallest peak  the nepalese government has said that all climbers on mount everest are being advised to stay away from the mountain until further notice this includes americans who are currently on the mountain  the closing of mount everest comes as the coronavirus which has killed at least 22 people in the middle east and europe has sparked concerns that the virus could reach high altitude areas including mount everest  mount everest which stands at 8848 metres 29029 feet is the tallest mountain in the world the mountain is also located in asia a region where the coronavirus is currently rife,gpt3
